timestamp,date,hour,day_of_week,is_weekend,is_holiday,month,junction_name,weather,event_nearby,anomaly_cause,vehicle_count,avg_speed_kmh,delay_minutes,congestion_level,day_of_week_enc,junction_name_enc,weather_enc,event_nearby_enc,anomaly_cause_enc,congestion_level_enc
2023-01-01 00:00,2023-01-01,0,Sunday,1,1,1,Silk Board Junction,Clear,None,None,173,55,4.7,Low,3,8,0,5,1,1
2023-01-01 01:00,2023-01-01,1,Sunday,1,1,1,Silk Board Junction,Cloudy,Exhibition,None,200,49,3.6,Low,3,8,1,2,1,1
2023-01-01 02:00,2023-01-01,2,Sunday,1,1,1,Whitefield Main Rd,Clear,None,None,159,51,3.1,Low,3,9,0,5,1,1
2023-01-01 03:00,2023-01-01,3,Sunday,1,1,1,Outer Ring Road & Bellandur,Clear,None,None,171,52,5.8,Low,3,6,0,5,1,1
2023-01-01 04:00,2023-01-01,4,Sunday,1,1,1,Bannerghatta Rd,Clear,None,None,58,56,2.8,Low,3,0,0,5,1,1
2023-01-01 05:00,2023-01-01,5,Sunday,1,1,1,MG Road & Brigade Rd,Rain,None,None,71,60,2.1,Low,3,4,4,5,1,1
2023-01-01 06:00,2023-01-01,6,Sunday,1,1,1,KR Puram Junction,Clear,Political Rally,None,151,50,3.7,Low,3,3,0,6,1,1
2023-01-01 07:00,2023-01-01,7,Sunday,1,1,1,Silk Board Junction,Clear,None,None,139,51,4.9,Low,3,8,0,5,1,1
2023-01-01 08:00,2023-01-01,8,Sunday,1,1,1,KR Puram Junction,Rain,Cricket Match,None,210,54,3.7,Low,3,3,4,1,1,1
2023-01-01 09:00,2023-01-01,9,Sunday,1,1,1,Whitefield Main Rd,Clear,None,None,175,49,4.1,Low,3,9,0,5,1,1
2023-01-01 10:00,2023-01-01,10,Sunday,1,1,1,Electronic City Flyover,Cloudy,Cricket Match,None,506,37,9.2,Medium,3,1,1,1,1,2
2023-01-01 11:00,2023-01-01,11,Sunday,1,1,1,Hebbal Flyover,Rain,Political Rally,Accident,235,47,6.6,Low,3,2,4,6,0,1
2023-01-01 12:00,2023-01-01,12,Sunday,1,1,1,Silk Board Junction,Clear,None,Accident,148,52,3.4,Low,3,8,0,5,0,1
2023-01-01 13:00,2023-01-01,13,Sunday,1,1,1,Marathahalli Bridge,Clear,None,None,364,43,6.6,Medium,3,5,0,5,1,2
2023-01-01 14:00,2023-01-01,14,Sunday,1,1,1,Silk Board Junction,Cloudy,None,None,452,45,8.9,Medium,3,8,1,5,1,2
2023-01-01 15:00,2023-01-01,15,Sunday,1,1,1,Marathahalli Bridge,Clear,None,Waterlogging,230,52,5.5,Low,3,5,0,5,5,1
2023-01-01 16:00,2023-01-01,16,Sunday,1,1,1,Bannerghatta Rd,Clear,None,Road Construction,329,48,8.0,Medium,3,0,0,5,3,2
2023-01-01 17:00,2023-01-01,17,Sunday,1,1,1,MG Road & Brigade Rd,Clear,None,None,523,38,10.5,Medium,3,4,0,5,1,2
2023-01-01 18:00,2023-01-01,18,Sunday,1,1,1,KR Puram Junction,Clear,Exhibition,None,648,37,11.7,Medium,3,3,0,2,1,2
2023-01-01 19:00,2023-01-01,19,Sunday,1,1,1,Electronic City Flyover,Clear,None,Accident,139,55,3.6,Low,3,1,0,5,0,1
2023-01-01 20:00,2023-01-01,20,Sunday,1,1,1,Sarjapur Junction,Clear,None,None,441,44,7.4,Medium,3,7,0,5,1,2
2023-01-01 21:00,2023-01-01,21,Sunday,1,1,1,Bannerghatta Rd,Clear,None,Waterlogging,104,50,3.9,Low,3,0,0,5,5,1
2023-01-01 22:00,2023-01-01,22,Sunday,1,1,1,Whitefield Main Rd,Clear,Political Rally,None,134,53,5.0,Low,3,9,0,6,1,1
2023-01-01 23:00,2023-01-01,23,Sunday,1,1,1,Sarjapur Junction,Clear,None,None,87,57,4.0,Low,3,7,0,5,1,1
2023-01-02 00:00,2023-01-02,0,Monday,0,0,1,Marathahalli Bridge,Rain,None,None,18,54,0.5,Low,1,5,4,5,1,1
2023-01-02 01:00,2023-01-02,1,Monday,0,0,1,Whitefield Main Rd,Cloudy,None,None,23,58,2.6,Low,1,9,1,5,1,1
2023-01-02 02:00,2023-01-02,2,Monday,0,0,1,Bannerghatta Rd,Rain,None,None,3,56,0.4,Low,1,0,4,5,1,1
2023-01-02 03:00,2023-01-02,3,Monday,0,0,1,Bannerghatta Rd,Rain,Concert,None,0,59,1.7,Low,1,0,4,0,1,1
2023-01-02 04:00,2023-01-02,4,Monday,0,0,1,KR Puram Junction,Clear,None,VIP Movement,19,62,2.4,Low,1,3,0,5,4,1
2023-01-02 05:00,2023-01-02,5,Monday,0,0,1,KR Puram Junction,Fog,Concert,None,75,54,1.3,Low,1,3,2,0,1,1
2023-01-02 06:00,2023-01-02,6,Monday,0,0,1,Silk Board Junction,Heavy Rain,None,None,233,48,5.6,Low,1,8,3,5,1,1
2023-01-02 07:00,2023-01-02,7,Monday,0,0,1,Outer Ring Road & Bellandur,Clear,None,None,427,43,8.9,Medium,1,6,0,5,1,2
2023-01-02 08:00,2023-01-02,8,Monday,0,0,1,Bannerghatta Rd,Heavy Rain,None,None,433,40,10.0,Medium,1,0,3,5,1,2
2023-01-02 09:00,2023-01-02,9,Monday,0,0,1,Silk Board Junction,Fog,Exhibition,Accident,348,43,6.3,Medium,1,8,2,2,0,2
2023-01-02 10:00,2023-01-02,10,Monday,0,0,1,KR Puram Junction,Clear,None,None,776,31,13.2,High,1,3,0,5,1,0
2023-01-02 11:00,2023-01-02,11,Monday,0,0,1,Silk Board Junction,Clear,None,None,480,38,10.7,Medium,1,8,0,5,1,2
2023-01-02 12:00,2023-01-02,12,Monday,0,0,1,Bannerghatta Rd,Rain,None,None,272,50,7.2,Low,1,0,4,5,1,1
2023-01-02 13:00,2023-01-02,13,Monday,0,0,1,Bannerghatta Rd,Clear,None,None,432,37,7.9,Medium,1,0,0,5,1,2
2023-01-02 14:00,2023-01-02,14,Monday,0,0,1,Hebbal Flyover,Fog,Concert,None,312,50,6.1,Medium,1,2,2,0,1,2
2023-01-02 15:00,2023-01-02,15,Monday,0,0,1,KR Puram Junction,Clear,None,None,374,48,7.7,Medium,1,3,0,5,1,2
2023-01-02 16:00,2023-01-02,16,Monday,0,0,1,Bannerghatta Rd,Clear,None,None,444,46,8.4,Medium,1,0,0,5,1,2
2023-01-02 17:00,2023-01-02,17,Monday,0,0,1,MG Road & Brigade Rd,Cloudy,None,None,1115,17,20.7,High,1,4,1,5,1,0
2023-01-02 18:00,2023-01-02,18,Monday,0,0,1,Silk Board Junction,Cloudy,None,None,884,28,17.6,High,1,8,1,5,1,0
2023-01-02 19:00,2023-01-02,19,Monday,0,0,1,MG Road & Brigade Rd,Rain,None,None,989,16,18.6,High,1,4,4,5,1,0
2023-01-02 20:00,2023-01-02,20,Monday,0,0,1,Sarjapur Junction,Clear,None,VIP Movement,468,36,10.7,Medium,1,7,0,5,4,2
2023-01-02 21:00,2023-01-02,21,Monday,0,0,1,Outer Ring Road & Bellandur,Cloudy,None,None,421,44,7.9,Medium,1,6,1,5,1,2
2023-01-02 22:00,2023-01-02,22,Monday,0,0,1,Whitefield Main Rd,Clear,None,None,394,41,8.6,Medium,1,9,0,5,1,2
2023-01-02 23:00,2023-01-02,23,Monday,0,0,1,Whitefield Main Rd,Clear,Marathon,None,50,62,3.8,Low,1,9,0,4,1,1
2023-01-03 00:00,2023-01-03,0,Tuesday,0,0,1,Silk Board Junction,Clear,Cricket Match,Road Construction,60,55,1.2,Low,5,8,0,1,3,1
2023-01-03 01:00,2023-01-03,1,Tuesday,0,0,1,Silk Board Junction,Clear,None,None,93,51,3.7,Low,5,8,0,5,1,1
2023-01-03 02:00,2023-01-03,2,Tuesday,0,0,1,Whitefield Main Rd,Clear,None,Accident,0,58,3.0,Low,5,9,0,5,0,1
2023-01-03 03:00,2023-01-03,3,Tuesday,0,0,1,Silk Board Junction,Clear,Marathon,None,29,53,0.9,Low,5,8,0,4,1,1
2023-01-03 04:00,2023-01-03,4,Tuesday,0,0,1,MG Road & Brigade Rd,Cloudy,None,None,39,55,2.4,Low,5,4,1,5,1,1
2023-01-03 05:00,2023-01-03,5,Tuesday,0,0,1,Silk Board Junction,Fog,Marathon,None,31,55,2.7,Low,5,8,2,4,1,1
2023-01-03 06:00,2023-01-03,6,Tuesday,0,0,1,Sarjapur Junction,Clear,Marathon,Waterlogging,82,57,1.9,Low,5,7,0,4,5,1
2023-01-03 07:00,2023-01-03,7,Tuesday,0,0,1,Marathahalli Bridge,Clear,Political Rally,None,433,38,9.7,Medium,5,5,0,6,1,2
2023-01-03 08:00,2023-01-03,8,Tuesday,0,0,1,Sarjapur Junction,Clear,None,None,963,24,16.4,High,5,7,0,5,1,0
2023-01-03 09:00,2023-01-03,9,Tuesday,0,0,1,Bannerghatta Rd,Cloudy,None,None,807,31,14.2,High,5,0,1,5,1,0
2023-01-03 10:00,2023-01-03,10,Tuesday,0,0,1,Hebbal Flyover,Fog,None,None,603,39,13.0,Medium,5,2,2,5,1,2
